ID,Date,Product,Price,Quantity,Total
S121,4/4/2022,Product D,97.37,4,389.48
S122,15/5/2022,Product B,88.74,9,798.66
S123,26/8/2021,Product A,32.79,2,65.58
S124,25/1/2019,Product C,74.13,8,593.04
S125,25/4/2021,Product D,29.27,7,204.89
S126,6/1/2020,Product A,55.2,6,331.2
S127,20/8/2020,Product B,38.98,2,77.96
S128,16/3/2019,Product C,16.61,3,49.83
S129,24/6/2019,Product D,57.3,6,343.8
S130,10/12/2020,Product A,81.7,8,653.6
S131,10/11/2021,Product C,54.04,1,54.04
S132,14/4/2021,Product C,75.38,8,603.04
S133,9/11/2022,Product C,77.17,3,231.51
S134,11/8/2020,Product B,65.42,3,196.26
S135,15/5/2020,Product C,52.92,7,370.44
S136,9/9/2019,Product D,21.65,5,108.25
S137,25/10/2019,Product D,50.32,3,150.96
S138,26/9/2020,Product B,17.74,9,159.66
S139,3/1/2021,Product D,22.19,9,199.71
S140,1/1/2022,Product C,61.41,2,122.82
S141,9/1/2021,Product B,80.5,2,161
S142,19/11/2022,Product A,14.55,3,43.65
S143,23/9/2020,Product B,13.99,4,55.96
S144,9/11/2022,Product C,88.68,8,709.44
S145,2/9/2020,Product D,11.37,1,11.37
S146,15/7/2020,Product C,65.47,10,654.7
S147,27/8/2020,Product A,48.51,9,436.59
S148,26/11/2022,Product C,56.79,1,56.79
S149,15/12/2022,Product D,74.82,4,299.28
S150,13/9/2019,Product C,66.68,6,400.08
S151,10/8/2022,Product D,53.98,7,377.86
S152,1/3/2021,Product A,77.28,3,231.84
S153,16/7/2019,Product A,70.1,10,701
S154,12/2/2020,Product A,85.7,6,514.2
S155,3/8/2019,Product D,94.53,3,283.59
S156,1/6/2022,Product A,59.54,4,238.16
S157,9/11/2020,Product C,15.09,7,105.63
S158,26/1/2021,Product A,42.25,5,211.25
S159,19/3/2022,Product B,40.54,3,121.62
S160,12/9/2020,Product C,70.92,7,496.44
S161,19/11/2021,Product A,95.63,7,669.41
S162,21/6/2020,Product A,64.64,8,517.12
S163,9/11/2019,Product D,64.59,4,258.36
S164,23/6/2021,Product B,89.28,10,892.8
S165,6/3/2021,Product D,21.63,8,173.04
S166,16/8/2021,Product D,79.91,3,239.73
S167,3/2/2019,Product A,33.38,10,333.8
S168,17/11/2021,Product C,45.07,8,360.56
S169,12/8/2019,Product C,27.41,10,274.1
S170,18/7/2022,Product A,38.67,1,38.67
S171,11/9/2020,Product B,88.97,2,177.94
S172,16/9/2022,Product B,31.22,10,312.2
S173,24/4/2019,Product A,74.95,10,749.5
S174,16/10/2021,Product B,42.89,6,257.34
S175,1/8/2021,Product A,71.82,4,287.28
S176,4/12/2022,Product A,35.31,5,176.55
S177,19/11/2022,Product C,37.26,6,223.56
S178,23/8/2021,Product C,55.85,4,223.4
S179,9/8/2020,Product D,91.78,5,458.9
S180,8/3/2021,Product B,11.05,10,110.5
S181,13/11/2020,Product C,22.8,4,91.2
S182,9/5/2022,Product B,48.86,4,195.44
S183,20/1/2022,Product D,82.05,7,574.35
S184,19/5/2019,Product A,77.53,2,155.06
S185,7/1/2020,Product C,35.55,1,35.55
S186,28/11/2020,Product A,41.87,3,125.61
S187,3/8/2020,Product A,29.48,1,29.48
S188,11/10/2020,Product B,20.78,3,62.34
S189,27/8/2021,Product C,59.9,6,359.4
S190,28/9/2022,Product B,30.58,8,244.64
S191,3/1/2019,Product D,17.42,1,17.42
S192,5/8/2022,Product C,96.81,10,968.1
S193,9/6/2019,Product C,18.39,1,18.39
S194,24/10/2021,Product B,60.73,9,546.57
S195,2/9/2021,Product C,86.3,3,258.9
S196,21/3/2021,Product A,71.66,3,214.98
S197,7/5/2021,Product C,46.55,7,325.85
S198,3/2/2021,Product D,22.16,3,66.48
S199,21/6/2022,Product B,15.88,3,47.64
S200,26/10/2019,Product D,34.31,10,343.1
S201,12/4/2020,Product A,83.76,7,586.32
S202,20/5/2020,Product B,71.37,1,71.37
S203,4/5/2022,Product C,15.61,10,156.1
S204,9/3/2021,Product D,44.79,9,403.11
S205,14/11/2019,Product A,53.93,1,53.93
S206,10/4/2019,Product A,41.34,6,248.04
S207,18/3/2021,Product D,62.15,2,124.3
S208,25/3/2020,Product A,76.85,7,537.95
S209,27/7/2021,Product A,64.56,5,322.8
S210,24/9/2019,Product A,78.02,3,234.06
S211,20/7/2021,Product D,70.79,9,637.11
S212,11/2/2020,Product D,76.81,10,768.1
S213,2/12/2022,Product B,73.93,9,665.37
S214,25/6/2021,Product C,65.88,7,461.16
S215,4/10/2021,Product A,71.25,5,356.25
S216,5/8/2019,Product A,66.67,10,666.7
S217,23/4/2022,Product B,14.82,6,88.92
S218,3/8/2019,Product B,76.58,10,765.8
S219,3/7/2022,Product B,58.45,10,584.5
S220,9/10/2019,Product B,61.23,3,183.69
S221,4/2/2021,Product C,72.92,3,218.76
S222,2/12/2020,Product C,58.34,1,58.34
S223,20/8/2020,Product D,42.28,10,422.8
S224,12/5/2020,Product C,40.68,3,122.04
S225,22/1/2022,Product C,54.81,8,438.48
S226,3/9/2020,Product A,86.49,2,172.98
S227,10/7/2021,Product C,37.06,10,370.6
S228,1/7/2020,Product B,63.48,9,571.32
S229,12/3/2019,Product A,67.2,7,470.4
S230,17/11/2019,Product D,81.76,2,163.52
S231,16/5/2021,Product D,36.85,9,331.65
S232,20/10/2022,Product A,42.12,6,252.72
S233,9/7/2022,Product C,54.14,6,324.84
S234,15/1/2019,Product C,84.93,1,84.93
S235,5/6/2021,Product A,27.4,1,27.4
S236,17/3/2019,Product D,82.02,1,82.02
S237,19/6/2019,Product C,61.61,6,369.66
S238,1/11/2021,Product D,31.81,7,222.67
S239,28/3/2021,Product C,41.55,7,290.85
S240,13/6/2021,Product B,45.24,8,361.92
S241,19/8/2021,Product B,20.77,4,83.08
S242,16/5/2022,Product C,62.53,7,437.71
S243,3/2/2019,Product A,80.36,4,321.44
S244,19/2/2020,Product C,70.83,1,70.83
S245,12/7/2020,Product C,94.37,2,188.74
S246,23/4/2020,Product D,95.07,2,190.14
S247,11/2/2022,Product A,31.12,7,217.84
S248,4/3/2021,Product B,86.99,2,173.98
S249,1/1/2022,Product B,28.67,1,28.67
S250,7/9/2021,Product B,59.45,3,178.35
S251,23/4/2022,Product A,35.63,5,178.15
S252,3/2/2019,Product B,92.04,4,368.16
S253,11/8/2021,Product C,12.97,10,129.7
S254,22/4/2020,Product C,80.41,6,482.46
S255,20/3/2020,Product D,24.53,3,73.59
S256,15/12/2021,Product A,84.34,7,590.38
S257,23/4/2019,Product C,48.74,3,146.22
S258,10/6/2020,Product B,92.98,9,836.82
S259,18/2/2020,Product C,80.52,3,241.56
S260,25/2/2022,Product A,68.96,4,275.84
S261,16/2/2019,Product B,48.89,8,391.12
S262,27/7/2022,Product A,12.45,10,124.5
S263,4/12/2021,Product A,75.87,8,606.96
S264,22/8/2019,Product D,46.94,1,46.94
S265,25/12/2019,Product B,79.3,9,713.7
S266,19/2/2022,Product D,84.37,8,674.96
S267,17/2/2020,Product B,74.04,6,444.24
S268,11/7/2021,Product A,10.13,2,20.26
S269,9/4/2019,Product B,16.21,6,97.26
S270,24/5/2019,Product C,44.68,8,357.44
S271,13/1/2020,Product C,48.61,7,340.27
S272,18/12/2021,Product B,90.34,6,542.04
S273,19/9/2022,Product D,66.59,8,532.72
S274,13/5/2021,Product B,73.9,1,73.9
S275,1/6/2019,Product D,53.71,9,483.39
S276,6/10/2021,Product D,65,9,585
S277,8/11/2019,Product A,81.03,2,162.06
S278,2/2/2020,Product A,99.55,9,895.95
S279,27/9/2022,Product C,72.26,10,722.6
S280,23/7/2021,Product B,23.05,1,23.05
S281,24/7/2019,Product C,80.61,10,806.1
S282,3/10/2022,Product D,71.06,1,71.06
S283,19/7/2022,Product B,23.16,3,69.48
S284,23/2/2021,Product D,62.76,5,313.8
S285,5/12/2021,Product D,49.24,10,492.4
S286,24/12/2021,Product D,71.59,10,715.9
S287,17/3/2019,Product D,71.84,8,574.72
S288,1/1/2019,Product C,29.99,6,179.94
S289,13/6/2020,Product A,10.9,6,65.4
S290,9/1/2020,Product A,50.78,6,304.68
S291,19/2/2022,Product D,79.09,4,316.36
S292,18/8/2019,Product D,81.45,3,244.35
S293,21/4/2022,Product B,92.27,2,184.54
S294,24/12/2019,Product D,12.24,2,24.48
S295,10/1/2020,Product B,20.36,10,203.6
S296,8/8/2019,Product C,98.36,8,786.88
S297,23/12/2020,Product A,90.18,5,450.9
S298,10/2/2021,Product D,59.39,5,296.95
S299,10/12/2020,Product D,94.61,5,473.05
S300,14/10/2020,Product B,16.97,4,67.88
S301,25/6/2022,Product B,12.89,5,64.45
S302,18/7/2022,Product C,74.61,5,373.05
S303,20/7/2020,Product D,26.42,4,105.68
S304,27/9/2020,Product A,49.52,6,297.12
S305,22/7/2022,Product D,23.4,5,117
S306,3/6/2019,Product A,12.06,9,108.54
S307,2/2/2022,Product B,16.36,6,98.16
S308,11/2/2020,Product B,35.74,3,107.22
S309,11/1/2021,Product A,86.75,9,780.75
S310,14/10/2022,Product C,12.46,8,99.68
S311,18/12/2022,Product B,14.57,5,72.85
S312,21/5/2022,Product B,69.09,2,138.18
S313,16/12/2020,Product A,19.38,2,38.76
S314,10/11/2019,Product B,99.28,3,297.84
S315,12/1/2021,Product D,47.78,5,238.9
S316,20/9/2020,Product B,12.8,3,38.4
S317,21/6/2019,Product B,39.04,3,117.12
S318,8/12/2020,Product D,86.2,9,775.8
S319,20/2/2019,Product B,97.75,10,977.5
S320,19/2/2022,Product D,54.06,7,378.42
S321,13/10/2019,Product C,19.06,2,38.12
S322,20/4/2021,Product B,14.54,10,145.4
S323,28/6/2019,Product B,35.59,5,177.95
S324,22/8/2019,Product D,29.47,8,235.76
S325,24/1/2021,Product A,94.21,2,188.42
S326,19/2/2019,Product A,18.41,1,18.41
S327,8/8/2019,Product D,75.05,6,450.3
S328,26/11/2022,Product D,93.67,4,374.68
S329,21/6/2022,Product A,90.56,10,905.6
S330,7/7/2021,Product A,70.72,1,70.72
S331,11/1/2021,Product B,41.67,8,333.36
S332,13/8/2022,Product A,83.91,8,671.28
S333,28/10/2022,Product D,65.08,6,390.48
S334,28/2/2020,Product A,71.42,6,428.52
S335,12/3/2019,Product A,70.09,8,560.72
S336,24/10/2020,Product C,38.68,3,116.04
S337,6/11/2021,Product B,58.53,7,409.71
S338,7/3/2021,Product A,86.69,4,346.76
S339,1/10/2020,Product D,97.78,2,195.56
S340,26/5/2022,Product A,25.25,5,126.25
S341,21/7/2019,Product B,67.54,4,270.16
S342,7/10/2020,Product B,95.49,6,572.94
S343,10/9/2020,Product D,81.87,9,736.83
S344,9/7/2021,Product C,32.3,6,193.8
S345,7/8/2021,Product B,38.44,7,269.08
S346,25/10/2019,Product D,78.97,5,394.85
S347,11/10/2020,Product D,27.92,1,27.92
S348,9/8/2020,Product A,49.6,1,49.6
S349,21/7/2020,Product B,93.47,4,373.88
S350,19/9/2021,Product A,32.8,8,262.4
S351,18/12/2019,Product C,83.68,1,83.68
S352,24/11/2022,Product D,26.4,10,264
S353,1/3/2020,Product A,67.42,7,471.94
S354,8/6/2021,Product A,80.52,4,322.08
S355,11/2/2021,Product C,34.35,5,171.75
S356,6/7/2022,Product D,47.18,8,377.44
S357,14/4/2021,Product B,69.78,5,348.9
S358,3/12/2020,Product B,81.24,10,812.4
S359,6/3/2021,Product B,43.26,1,43.26
S360,6/12/2021,Product B,27.58,2,55.16
S361,18/5/2021,Product C,92.39,9,831.51
S362,27/9/2019,Product C,12.07,5,60.35
S363,8/9/2020,Product A,22.24,5,111.2
S364,4/3/2021,Product C,74.5,1,74.5
S365,11/12/2019,Product C,37.13,9,334.17
S366,12/9/2020,Product B,16.78,7,117.46
S367,22/4/2022,Product A,55.21,7,386.47
S368,23/12/2021,Product C,76.89,10,768.9
S369,6/5/2022,Product A,59.95,10,599.5
S370,26/12/2020,Product B,25.64,7,179.48
S371,6/9/2020,Product D,76.92,5,384.6
S372,18/5/2019,Product A,49.31,10,493.1
S373,24/4/2019,Product D,29.69,10,296.9
S374,25/5/2022,Product C,10.55,6,63.3
S375,22/10/2022,Product A,86.7,1,86.7
S376,1/6/2020,Product D,27.81,1,27.81
S377,19/6/2021,Product C,22.54,2,45.08
S378,9/12/2019,Product B,94.27,10,942.7
S379,24/8/2022,Product D,15.57,9,140.13
S380,2/4/2020,Product B,90.78,6,544.68
S381,6/6/2022,Product A,43.17,5,215.85
S382,28/10/2021,Product A,23.28,7,162.96
S383,21/8/2019,Product B,19.57,6,117.42
S384,15/2/2020,Product D,25.48,2,50.96
S385,12/4/2020,Product D,99.69,3,299.07
S386,15/11/2021,Product C,26.34,5,131.7
S387,2/12/2021,Product B,80.84,5,404.2
S388,23/1/2019,Product B,87.56,4,350.24
S389,14/12/2020,Product A,27.54,2,55.08
S390,18/3/2019,Product D,39.33,5,196.65
S391,3/4/2019,Product D,22.79,9,205.11
S392,23/11/2022,Product D,70.24,8,561.92
S393,24/3/2021,Product D,26.27,2,52.54
S394,20/6/2019,Product C,15.84,1,15.84
S395,12/9/2022,Product A,37.16,4,148.64
S396,26/10/2020,Product D,49.66,10,496.6
S397,13/4/2022,Product C,59.41,9,534.69
S398,21/1/2021,Product D,13.45,2,26.9
S399,6/11/2022,Product D,62.91,5,314.55
S400,6/12/2021,Product D,48.23,5,241.15
S401,14/11/2022,Product D,25.81,7,180.67
S402,27/12/2020,Product B,52.39,6,314.34
S403,22/4/2020,Product A,41.14,4,164.56
S404,10/6/2019,Product A,94.79,9,853.11
S405,23/2/2020,Product D,70.66,4,282.64
S406,23/3/2019,Product D,55.63,9,500.67
S407,8/5/2022,Product B,83.91,10,839.1
S408,10/6/2020,Product A,83.77,3,251.31
S409,7/5/2019,Product C,38.05,1,38.05
S410,4/12/2021,Product C,15.28,1,15.28
S411,1/2/2021,Product D,20.04,3,60.12
S412,7/5/2019,Product D,71.28,6,427.68
S413,14/11/2022,Product B,73.31,4,293.24
S414,22/9/2020,Product B,39.07,3,117.21
S415,11/8/2020,Product A,78.94,10,789.4
S416,15/6/2022,Product D,62.23,5,311.15
S417,17/12/2021,Product C,27.31,1,27.31
S418,5/11/2022,Product C,20.89,4,83.56
S419,1/7/2022,Product A,38.81,7,271.67
S420,25/11/2022,Product C,28.8,2,57.6
S421,16/8/2019,Product C,27.41,10,274.1
S422,7/8/2022,Product C,43.18,6,259.08
S423,11/7/2021,Product C,11.39,1,11.39
S424,9/2/2020,Product B,23.32,10,233.2
S425,9/1/2019,Product D,75.3,6,451.8
S426,25/9/2020,Product A,37.32,7,261.24
S427,20/10/2019,Product A,62.34,7,436.38
S428,17/3/2022,Product C,27.32,10,273.2
S429,7/2/2020,Product B,73.73,1,73.73
S430,14/8/2022,Product D,65.12,7,455.84
S431,8/11/2021,Product D,50.45,8,403.6
S432,13/1/2019,Product A,74.21,4,296.84
S433,9/12/2022,Product A,12.13,5,60.65
S434,4/12/2019,Product A,83.78,4,335.12
S435,8/5/2022,Product C,93.71,5,468.55
S436,8/3/2019,Product D,63.1,9,567.9
S437,16/1/2022,Product A,74.62,1,74.62
S438,14/12/2020,Product B,91.79,2,183.58
S439,1/1/2021,Product B,57.04,9,513.36
S440,9/12/2022,Product B,78.13,9,703.17
S441,2/9/2022,Product B,34.83,4,139.32
S442,25/6/2020,Product C,49.19,2,98.38
S443,17/1/2019,Product B,95.09,7,665.63
S444,24/12/2021,Product A,52.08,3,156.24
S445,21/2/2022,Product B,81.08,6,486.48
S446,13/6/2022,Product A,40.74,3,122.22
S447,28/3/2021,Product B,30.09,3,90.27
S448,9/9/2021,Product D,72.27,2,144.54
S449,20/10/2022,Product C,77.88,10,778.8
S450,12/8/2021,Product B,83.22,4,332.88
S451,12/10/2021,Product B,65.62,1,65.62
S452,25/5/2019,Product C,47.53,3,142.59
S453,24/6/2022,Product D,67.98,8,543.84
S454,20/7/2022,Product C,53.79,4,215.16
S455,8/3/2020,Product B,67.82,9,610.38
S456,16/8/2019,Product C,31.8,5,159
S457,10/10/2022,Product C,52.43,9,471.87
S458,10/3/2019,Product D,80.27,3,240.81
S459,19/11/2019,Product A,51.97,7,363.79
S460,1/7/2020,Product D,11.58,5,57.9
S461,18/1/2021,Product C,53.12,8,424.96
S462,28/5/2021,Product C,82.59,6,495.54
S463,23/10/2020,Product A,38.87,6,233.22
S464,19/2/2019,Product A,56.45,1,56.45
S465,24/3/2019,Product B,18.01,8,144.08
S466,7/5/2022,Product B,73.71,5,368.55
S467,22/11/2020,Product D,57.06,9,513.54
S468,15/9/2022,Product B,30.56,10,305.6
S469,8/8/2019,Product D,20.8,2,41.6
S470,2/5/2021,Product B,37.18,4,148.72
S471,13/7/2019,Product B,83.16,2,166.32
S472,25/8/2021,Product B,43.51,1,43.51
S473,10/1/2020,Product D,68.89,3,206.67
S474,2/11/2021,Product C,41.87,6,251.22
S475,23/2/2021,Product B,79.49,1,79.49
S476,27/7/2019,Product C,38.32,10,383.2
S477,18/6/2019,Product A,75.98,3,227.94
S478,12/12/2019,Product B,92.98,4,371.92
S479,8/9/2019,Product A,21.22,10,212.2
S480,3/12/2020,Product C,81.68,3,245.04
S481,12/2/2021,Product D,27.72,9,249.48
S482,23/2/2022,Product B,98.27,1,98.27
S483,3/3/2019,Product A,98.83,9,889.47
S484,27/2/2021,Product A,40.16,9,361.44
S485,18/11/2021,Product A,23.14,3,69.42
S486,23/11/2022,Product B,51.37,4,205.48
S487,20/4/2021,Product C,93.14,10,931.4
S488,13/8/2021,Product D,38.54,3,115.62
S489,10/10/2021,Product B,94.74,3,284.22
S490,25/7/2021,Product B,29.8,3,89.4
S491,14/7/2020,Product C,23.33,1,23.33
S492,13/6/2021,Product C,38.99,4,155.96
S493,27/1/2020,Product D,47.31,4,189.24
S494,10/8/2020,Product A,56.35,10,563.5
S495,27/3/2019,Product A,34.04,1,34.04
S496,13/6/2020,Product D,38.55,6,231.3
S497,25/3/2022,Product A,81.04,10,810.4
S498,24/2/2019,Product A,14.56,6,87.36
S499,19/5/2019,Product B,75.08,7,525.56
S500,10/1/2021,Product B,14.5,7,101.5
S501,23/11/2022,Product D,25.36,7,177.52
S502,25/4/2021,Product B,54.79,10,547.9
S503,9/2/2019,Product B,19.53,4,78.12
S504,26/7/2022,Product C,95.15,1,95.15
S505,2/5/2020,Product C,17.07,5,85.35
S506,8/11/2022,Product D,31.44,9,282.96
S507,17/8/2019,Product C,53.72,6,322.32
S508,20/11/2022,Product C,90.58,1,90.58
S509,27/11/2020,Product C,67.9,10,679
S510,21/1/2022,Product D,89.76,5,448.8
S511,26/4/2019,Product A,11.26,6,67.56
S512,11/2/2021,Product D,77.92,9,701.28
S513,20/12/2020,Product B,78.67,6,472.02
S514,17/7/2020,Product C,56.27,4,225.08
S515,20/8/2022,Product A,17.33,5,86.65
S516,12/4/2022,Product B,70.85,7,495.95
S517,8/5/2022,Product C,76.3,6,457.8
S518,5/10/2020,Product D,91.78,6,550.68
S519,19/6/2022,Product A,78.08,7,546.56
S520,3/5/2020,Product A,13.43,4,53.72
S521,8/3/2022,Product D,70.21,4,280.84
S522,22/5/2021,Product B,32.12,9,289.08
S523,28/7/2022,Product C,71.6,1,71.6
S524,13/1/2022,Product C,64.93,2,129.86
S525,9/5/2021,Product B,64.01,2,128.02
S526,7/10/2022,Product D,94.16,3,282.48
S527,19/8/2021,Product B,21.83,1,21.83
S528,16/5/2021,Product A,65.66,5,328.3
S529,27/1/2020,Product D,86.22,9,775.98
S530,15/10/2020,Product D,41.26,7,288.82
S531,1/4/2019,Product B,23.15,8,185.2
S532,23/5/2022,Product D,67.47,7,472.29
S533,28/7/2019,Product D,21.66,5,108.3
S534,25/2/2020,Product D,18.71,4,74.84
S535,11/2/2022,Product A,17.9,4,71.6
S536,9/4/2020,Product B,70.08,5,350.4
S537,26/3/2020,Product B,81.82,10,818.2
S538,25/5/2019,Product D,83.79,3,251.37
S539,11/1/2022,Product C,79.61,4,318.44
S540,12/12/2020,Product B,62.39,6,374.34
S541,22/3/2022,Product D,25.33,10,253.3
S542,26/6/2021,Product D,23.37,10,233.7
S543,22/7/2021,Product B,98.85,6,593.1
S544,7/9/2020,Product D,88.74,2,177.48
S545,19/11/2020,Product B,35.34,6,212.04
S546,10/6/2022,Product B,87.38,5,436.9
S547,25/2/2020,Product D,31.98,8,255.84
S548,12/2/2021,Product C,76.27,10,762.7
S549,23/11/2021,Product D,69.56,10,695.6
S550,18/2/2020,Product D,36.7,9,330.3
S551,20/4/2020,Product D,19.44,6,116.64
S552,15/1/2022,Product B,22.58,6,135.48
S553,8/9/2019,Product A,22.31,1,22.31
S554,27/3/2020,Product D,85.46,2,170.92
S555,23/9/2021,Product C,77.85,5,389.25
S556,28/12/2019,Product D,23.8,8,190.4
S557,15/3/2019,Product C,68.4,5,342
S558,10/2/2022,Product D,31.26,2,62.52
S559,25/9/2021,Product D,69.39,4,277.56
S560,8/11/2019,Product D,94.11,9,846.99
S561,17/7/2022,Product A,74.44,9,669.96
S562,10/7/2021,Product A,44.4,3,133.2
S563,12/10/2019,Product D,74.31,8,594.48
S564,25/7/2020,Product D,65.36,5,326.8
S565,10/9/2022,Product A,14.94,7,104.58
S566,23/4/2019,Product B,25.97,3,77.91
S567,20/3/2022,Product B,87.89,7,615.23
S568,9/1/2022,Product B,88,5,440
S569,20/1/2022,Product D,41.88,6,251.28
S570,19/7/2022,Product D,91.73,5,458.65
S571,8/6/2019,Product D,66.16,8,529.28
S572,5/12/2020,Product D,62.32,4,249.28
S573,6/12/2019,Product D,41.23,7,288.61
S574,19/11/2021,Product A,24.45,8,195.6
S575,11/8/2021,Product A,51.79,4,207.16
S576,21/5/2022,Product C,87.72,2,175.44
S577,19/4/2020,Product A,42.68,9,384.12
S578,6/7/2021,Product B,38.6,9,347.4
S579,13/6/2019,Product D,62.88,4,251.52
S580,11/8/2021,Product C,27.2,7,190.4
S581,6/4/2020,Product A,75.83,10,758.3
S582,27/7/2020,Product D,37.36,9,336.24
